happy,comp,sex,age,edu,employ,rel_per,rel_den,social_class,people_trust
Not very happy,9,Female,40,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,8,Female,36,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,2,Female,24,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Working class,Need to be very careful
Quite happy,5,Female,29,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,2,Female,36,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,3,Female,21,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not very happy,5,Female,20,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Female,30,Bachelor or equivalent (ISCED 6),Student,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Female,50,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,5,Female,32,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,5,Female,35,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,5,Female,35,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,6,Female,25,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Working class,Most people can be trusted
Not very happy,5,Female,40,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,40,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,6,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,65,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,10,Male,24,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,2,Male,85,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,10,Male,70,Primary education (ISCED 1),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,47,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,30,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Other,Working class,Need to be very careful
Very happy,10,Male,25,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,2,Male,32,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,48,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Upper middle class,Most people can be trusted
Very happy,1,Male,67,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,28,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,19,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Male,38,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Don't know
Very happy,1,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,22,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,22,Post-secondary non-tertiary education (ISCED 4),Unemployed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,30,Primary education (ISCED 1),Full time (30 hours a week or more),Not a religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,54,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,19,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,19,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,3,Female,23,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not at all happy,2,Female,33,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,3,Female,30,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,10,Male,19,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,22,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Male,38,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,10,Male,29,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,40,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Male,23,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Working class,Need to be very careful
Not very happy,1,Male,29,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,36,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,19,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,6,Male,19,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,9,Male,38,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,22,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Very happy,10,Male,43,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,30,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,20,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,38,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,35,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,48,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Not very happy,1,Male,57,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,19,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not very happy,3,Female,38,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,4,Female,21,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not very happy,3,Female,20,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Female,28,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,5,Female,20,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,4,Female,22,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,4,Female,20,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,2,Female,19,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Don't know,Most people can be trusted
Very happy,10,Male,35,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,4,Male,40,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,8,Male,38,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,3,Male,35,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Male,35,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,7,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,48,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Male,25,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Male,25,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,10,Female,55,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,4,Female,30,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Female,30,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,25,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Not very happy,5,Female,29,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,8,Female,26,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,4,Female,25,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,62,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,37,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Male,45,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,43,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,10,Male,60,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Male,28,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,9,Male,33,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Male,47,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,7,Male,50,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,32,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,50,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,38,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not at all happy,1,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Female,47,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,2,Female,36,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,24,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Female,33,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,2,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,5,Female,31,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,Not a religious person,Muslim,Working class,Most people can be trusted
Very happy,5,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Female,33,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Female,29,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Female,48,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not at all happy,9,Female,20,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,30,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,31,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,29,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,37,Early childhood education (ISCED 0) / no education,Self employed,Don't know,Muslim,Upper middle class,Need to be very careful
Quite happy,2,Male,49,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,33,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,6,Male,21,Upper secondary education (ISCED 3),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,28,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,26,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,2,Male,60,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,9,Male,48,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,20,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,3,Female,25,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,20,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,22,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Need to be very careful
Very happy,5,Female,32,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Female,33,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Most people can be trusted
Very happy,1,Female,21,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Most people can be trusted
Very happy,3,Female,30,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,25,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,1,Female,32,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,5,Female,48,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,37,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Female,28,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Female,30,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,25,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,40,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,42,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,18,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,48,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,1,Male,20,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Male,42,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,38,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Not at all happy,1,Male,19,Upper secondary education (ISCED 3),Unemployed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,60,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,28,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,2,Female,48,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Not very happy,1,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,48,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not at all happy,1,Female,40,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,6,Female,38,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Not at all happy,10,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Not very happy,1,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,28,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,35,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,58,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,3,Male,34,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,26,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,27,Primary education (ISCED 1),Self employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Male,21,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,28,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,34,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Male,26,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Male,31,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,30,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,34,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Male,24,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,48,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,20,Post-secondary non-tertiary education (ISCED 4),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,23,Lower secondary education (ISCED 2),Unemployed,Not a religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,30,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,29,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,45,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,28,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Not at all happy,10,Female,23,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Don't know,Need to be very careful
Very happy,1,Female,28,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,5,Female,56,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,22,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Female,22,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Not at all happy,1,Female,43,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,1,Female,28,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,44,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,55,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Not at all happy,1,Male,45,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,32,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,4,Male,30,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,45,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Not at all happy,10,Male,36,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,47,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,31,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,44,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Male,44,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Male,36,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Male,30,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,5,Male,45,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),Not a religious person,Muslim,Lower class,Need to be very careful
Quite happy,5,Male,22,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,35,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Not at all happy,7,Male,32,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,2,Male,48,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
